apn,address
62117050,Laurel Ave
62117210,Jervis Ave
63083300,Notre Dame Ave
63083010,Baylor St
63085280,Notre Dame Ave
63085010,Fordham St
63088250,Fordham St
63088260,Notre Dame Ave
63088330,Notre Dame Ave
63071180,Kavanaugh Dr
63088010,Illinois St
63072010,Kavanaugh Dr
63083040,Baylor St
63083270,Annapolis St
63082040,Annapolis St
63072300,Kavanaugh Dr
63085050,Fordham St
63085240,Baylor St
63062010,Kavanaugh Dr
63062060,Kirkwood Ct
63072270,Gloria Way
63072040,Farrington Way
63062220,Gertrude Ct
63062310,Hazelwood Way
63073060,Emmett Way
63085100,Fordham St
63085190,Baylor St
62112020,Alberni St
63072220,Gloria Way
63072090,Farrington Way
62113150,Menalto Ave
63073190,Farrington Way
62115220,Saratoga Ave
63073160,Farrington Way
62116030,Jervis Ave
63072160,Ursula Way
62133010,Alberni St
63114030,Illinois St
63113020,Illinois St
63113210,Gonzaga St
63102070,Hazelwood Way
62132060,Poplar Ave
63103120,Ursula Way
62134040,Ralmar Ave
63043140,Fordham St
63047080,Illinois St
63089020,Illinois St
63071190,Kavanaugh Dr
63071200,Kavanaugh Dr
63061270,Kavanaugh Dr
63062240,Gertrude Ct
63062040,Kirkwood Ct
63074110,Emmett Way
63089120,Illinois St
63073240,Farrington Way
62113060,Alberni St
62115050,Westminster Ave
63089170,Illinois St
63083140,Baylor St
63083170,Annapolis St
63082140,Annapolis St
62131080,Alberni St
62117260,Alberni St
63072170,Gloria Way
63113010,Illinois St
63113220,Gonzaga St
62117020,Laurel Ave
63111110,Michigan Ave
63112020,Gonzaga St
62115230,Saratoga Ave
63103130,Gloria Way
63045110,Gonzaga St
63043110,Gonzaga St
63045090,Gonzaga St
63043120,Fordham St
63045080,Illinois St
63071210,Kavanaugh Dr
63071220,Kavanaugh Dr
63071230,Kavanaugh Dr
63063010,Kavanaugh Dr
63063200,Kavanaugh Dr
63062200,Gertrude Ct
63085070,Fordham St
63088090,Illinois St
63062340,Hazelwood Way
62113070,Alberni St
63072200,Gloria Way
63072110,Farrington Way
63073130,Emmett Way
62117270,Alberni St
63072150,Ursula Way
63111100,Michigan Ave
63072140,Farrington Way
63111090,Michigan Ave
63111080,Michigan Ave
63111070,Michigan Ave
62133020,Alberni St
63112230,Fordham St
62116180,Westminster Ave
62117230,Jervis Ave
63103020,Ursula Way
62118260,Laurel Ave
62134020,Ralmar Ave
62116050,Jervis Ave
62118240,Laurel Ave
63047060,Illinois St
63043090,Gonzaga St
63032170,Fordham St
63071240,Kavanaugh Dr
63089040,Illinois St
63071250,Kavanaugh Dr
63071260,Kavanaugh Dr
63074140,Emmett Way
63073030,Emmett Way
63085220,Baylor St
63063040,Gloria Way
63083090,Baylor St
63083220,Annapolis St
63082090,Annapolis St
62112030,Alberni St
63063070,Gloria Way
63063140,Hazelwood Way
62113020,Alberni St
63088150,Michigan Ave
63088160,Michigan Ave
63088170,Michigan Ave
63088180,Michigan Ave
63088190,Michigan Ave
63088200,Fordham St
62131010,Alberni St
63074040,Emmett Way
63101020,Gloria Way
63101090,Hazelwood Way
63111060,Michigan Ave
63111050,Michigan Ave
62114050,Saratoga Ave
63111040,Michigan Ave
63102040,Hazelwood Way
63111030,Michigan Ave
62133030,Alberni St
62115100,Westminster Ave
62118040,Menalto Ave
63032150,Fordham St
63071270,Kavanaugh Dr
63071280,Kavanaugh Dr
63071290,Kavanaugh Dr
63061040,Kavanaugh Dr
63062270,Kavanaugh Dr
63085040,Fordham St
63085250,Baylor St
63062160,Clarence Ct
63063170,Hazelwood Way
63072250,Gloria Way
63072060,Farrington Way
63074090,Emmett Way
63088120,Illinois St
63085120,Fordham St
62113080,Alberni St
63085170,Baylor St
63102010,Hazelwood Way
62116210,Westminster Ave
63073170,Farrington Way
62114030,Saratoga Ave
63111020,Michigan Ave
63112010,Gonzaga St
62132010,Alberni St
62133040,Alberni St
62116160,Westminster Ave
62116070,Jervis Ave
63114050,Illinois St
63061050,Kavanaugh Dr
63061060,Kavanaugh Dr
63061070,Kavanaugh Dr
63089060,Illinois St
63088280,Gonzaga St
63062260,Kavanaugh Dr
63062250,Kavanaugh Dr
63089090,Illinois St
63073270,Farrington Way
63062110,Clarence Ct
63088060,Illinois St
63062300,Hazelwood Way
63073080,Emmett Way
63089140,Illinois St
62112040,Westminster Ave
63073220,Farrington Way
62114170,Alberni St
62131020,Alberni St
62131100,Alberni St
62117010,Alberni St
63112240,Fordham St
62118290,Laurel Ave
62117040,Laurel Ave
63102140,Hazelwood Way
63112040,Gonzaga St
63112210,Fordham St
63081020,Notre Dame Ave
63081030,Notre Dame Ave
63081040,Notre Dame Ave
63081050,Notre Dame Ave
63081060,Notre Dame Ave
63081070,Notre Dame Ave
63081080,Notre Dame Ave
63084010,Notre Dame Ave
63084020,Notre Dame Ave
63061080,Kavanaugh Dr
63061090,Kavanaugh Dr
63088230,Fordham St
63088310,Gonzaga St
63088030,Illinois St
63083030,Baylor St
63083280,Annapolis St
63082030,Annapolis St
63082060,Annapolis St
63062070,Kirkwood Ct
63062140,Clarence Ct
63073050,Emmett Way
63074120,Emmett Way
63085090,Fordham St
63085200,Baylor St
63083110,Baylor St
63083200,Annapolis St
63082110,Annapolis St
62113090,Alberni St
63089160,Illinois St
63073100,Emmett Way
62115060,Westminster Ave
63072180,Gloria Way
62115200,Saratoga Ave
63114020,Illinois St
62132020,Alberni St
62115080,Westminster Ave
63103030,Ursula Way
62117220,Jervis Ave
63102060,Hazelwood Way
63103040,Ursula Way
62118030,Menalto Ave
63103050,Ursula Way
63102150,Ursula Way
62132300,Menalto Ave
62115120,Westminster Ave
63061100,Kavanaugh Dr
63061110,Kavanaugh Dr
63062190,Kavanaugh Dr
63062180,Kavanaugh Dr
63074150,Emmett Way
63073020,Emmett Way
63083060,Baylor St
63083250,Annapolis St
63072280,Gloria Way
63072030,Farrington Way
63062130,Clarence Ct
63089110,Illinois St
63072230,Gloria Way
63072080,Farrington Way
63074070,Emmett Way
63063120,Hazelwood Way
63063090,Gloria Way
62114010,Saratoga Ave
63073200,Farrington Way
62131030,Alberni St
62116020,Jervis Ave
63072130,Farrington Way
62131110,Alberni St
62134030,Ralmar Ave
62133050,Alberni St
63103060,Ursula Way
62115180,Saratoga Ave
63102160,Ursula Way
62133070,Ralmar Ave
63111150,Fordham St
63102110,Hazelwood Way
63113070,Illinois St
62122020,Newbridge St
63113160,Gonzaga St
62133310,Poplar Ave
63112090,Gonzaga St
63112160,Fordham St
62132130,Poplar Ave
62134110,Ralmar Ave
63113280,Illinois St
62134140,Ralmar Ave
62132200,Newbridge St
62124230,Jervis Ave
62125150,Laurel Ave
63203430,Bay Rd
62123230,Westminster Ave
62123120,Jervis Ave
63197150,Bay Rd
63197370,Glen Way
62135130,Menalto Ave
63171540,Addison Ave
63171550,Bay Rd
63172220,Addison Ave
63193030,Weeks St
63202220,Sacramento St
63210410,Cooley Ave
63199120,Glen Way
63271420,Weeks St
63271410,Weeks St
63271260,Pulgas Ave
63174100,Oakwood Dr
63199110,Glen Way
63113040,Illinois St
62117200,Jervis Ave
63113190,Gonzaga St
63102130,Hazelwood Way
63114070,Illinois St
62123320,Newbridge St
63102280,Grace Ave
63111190,Fordham St
62118160,Newbridge St
63113230,Gonzaga St
63112260,Gonzaga St
63112250,Bay Rd
62122090,Westminster Ave
63102500,Bay Rd
62122280,Saratoga Ave
62133160,Ralmar Ave
62121120,Saratoga Ave
63174300,Dumbarton Ave
63232200,Clarke Ave
63174160,Bay Rd
63221300,Paul Robeson Ct
63202010,Weeks St
63221360,Paul Robeson Ct
62123200,Westminster Ave
62123190,Westminster Ave
63161210,Bay Rd
63202210,Sacramento St
63264410,Weeks St
63264430,Weeks St
62222050,Bay Rd
63193140,Dumbarton Ave
63197050,Palo Verde Ave
62115260,Newbridge St
62117060,Laurel Ave
63102190,Gloria Way
63112060,Gonzaga St
63112190,Fordham St
62132280,Menalto Ave
62118200,Laurel Ave
62134080,Ralmar Ave
62132100,Poplar Ave
62133290,Poplar Ave
62118180,Laurel Ave
63113260,Illinois St
63113130,Gonzaga St
62133120,Ralmar Ave
63102320,Grace Ave
62133260,Poplar Ave
62123050,Jervis Ave
63102490,Bay Rd
62126020,Newbridge St
62123250,Westminster Ave
62123100,Jervis Ave
62133200,Newbridge St
63197390,Palo Verde Ave
62126060,Menalto Ave
63221270,Jamie Ln
63221280,Jamie Ln
63221290,Paul Robeson Ct
63221380,Paul Robeson Ct
63221370,Paul Robeson Ct
63221390,Weeks St
63194130,Weeks St
62124110,Laurel Ave
63202020,Weeks St
63161200,Bay Rd
63202200,Sacramento St
63263390,Weeks St
63263380,Weeks St
63263400,Weeks St
63263310,Weeks St
63253400,Cooley Ave
63174230,Dumbarton Ave
62117080,Laurel Ave
62121290,Saratoga Ave
62122030,Newbridge St
62118100,Menalto Ave
62117290,Laurel Ave
62122310,Saratoga Ave
62122060,Westminster Ave
63114140,Illinois St
62123300,Westminster Ave
62124030,Newbridge St
62118300,Newbridge St
62121220,Saratoga Ave
63102310,Grace Ave
63102460,Bay Rd
62135150,Menalto Ave
63203390,Bay Rd
62125130,Laurel Ave
62125020,Mello St
63221550,Carole Ct
63221540,Carole Ct
63221530,Carole Ct
63221250,Weeks St
63174200,Dumbarton Ave
62242370,Bradley Way
63193040,Weeks St
63172280,Oakwood Dr
63202190,Sacramento St
63197230,Glen Way
63171290,Addison Ave
63202180,Sacramento St
62242360,Bay Rd
63263300,Weeks St
63263350,Weeks St
63161240,Poplar Ave
63263340,Weeks St
63263360,Weeks St
63197080,Palo Verde Ave
63172310,Oakwood Dr
62132070,Poplar Ave
63111140,Fordham St
63102080,Hazelwood Way
62117170,Jervis Ave
62133090,Ralmar Ave
63111170,Fordham St
63102290,Grace Ave
63730190,Montage Cir
63730200,Montage Cir
63730220,Montage Cir
