"APN"|"valid"|"geometry"
"062114010"|TRUE|list(c(6081887.30095954, 6081874.7729821, 6081830.33915092, 6081887.30095954, 1999205.97823343, 1999178.42994854, 1999187.25404755, 1999205.97823343))
"062114010"|TRUE|list(c(6082033.55515817, 6081887.30095954, 6081919.20949338, 6082033.55515817, 1999254.05414371, 1999205.97823343, 1999276.14322097, 1999254.05414371), c(6081937.19424146, 6081950.86664094, 6081917.56657919, 6081903.89385545, 6081937.19424146, 1999222.37889042, 1999255.19143919, 1999269.06740982, 1999236.25488285, 1999222.37889042))
"062114020"|TRUE|list(c(6081883.78978905, 6081882.17269763, 6081893.33415247, 6081879.89398759, 6081885.76883539, 6081899.20928451, 6081905.08412054, 6081899.38305364, 6081999.74925331, 6081883.78978905, 1999105.30029527, 1999105.98715927, 1999132.7737029, 1999138.37423308, 1999152.47320051, 1999146.87266809, 1999160.97163972, 1999163.347257, 1999143.41598238, 1999105.30029527))
"062114020"|TRUE|list(c(6081841.96662488, 6081800.67491851, 6081817.26270516, 6081876.42567367, 6081872.32839176, 6081858.88824372, 6081841.96662488, 1999123.06479863, 1999140.60356384, 1999179.65516965, 1999167.90626039, 1999158.07373961, 1999163.67428022, 1999123.06479863))
"062114030"|TRUE|list(c(6081871.43011926, 6081871.05641212, 6081877.7583267, 6081896.56298157, 6081871.43011926, 1999080.74911056, 1999080.90849174, 1999096.99748541, 1999089.01015682, 1999080.74911056))
"062114030"|TRUE|list(c(6081814.29774099, 6081790.00215849, 6081796.76536027, 6081820.96462658, 6081814.29774099, 1999105.11531868, 1999115.47706515, 1999131.3994694, 1999121.12076486, 1999105.11531868))
"062114040"|TRUE|list(c(6081773.19126554, 6081770.45416342, 6081786.09264457, 6081804.37574642, 6081793.89646641, 6081779.10852739, 6081773.19126554, 1999068.28783678, 1999069.45514919, 1999106.27294024, 1999098.4754377, 1999074.96888232, 1999081.56123023, 1999068.28783678))
"062114050"|TRUE|list(c(6081823.31479003, 6081750.91018432, 6081766.54465457, 6081880.88616278, 6081823.31479003, 1998992.56420655, 1999023.44314028, 1999060.25102224, 1999011.48694404, 1998992.56420655), c(6081834.56308683, 6081795.55225681, 6081784.96176386, 6081823.97262485, 6081834.56308683, 1999018.19585088, 1999034.4514606, 1999009.03605056, 1998992.78042573, 1999018.19585088))
"062114060"|TRUE|list(c(6081772.41278863, 6081731.30287115, 6081747.00067452, 6081830.12427174, 6081816.23598223, 6081754.70855326, 6081743.36457911, 6081776.85111026, 6081772.41278863, 1998959.82003407, 1998977.28158395, 1999014.23901374, 1998978.78867152, 1998974.22386198, 1999001.65307694, 1998976.20693582, 1998961.27882372, 1998959.82003407))
"062114060"|TRUE|list(c(6081796.5434244, 6081794.63136845, 6081795.18207586, 6081796.5434244, 1998967.7513028, 1998967.12284735, 1998968.35816417, 1998967.7513028))
"062114170"|TRUE|list(c(6081923.58238552, 6081866.82362266, 6081818.24340263, 6081836.62821795, 6081876.66012375, 6081896.01706018, 6081856.30344784, 6081858.00195909, 6081923.58238552, 1999309.91540613, 1999185.10622785, 1999194.75335784, 1999238.0368368, 1999221.35597083, 1999267.80979053, 1999284.3583464, 1999288.35716143, 1999309.91540613))
"062115010"|TRUE|list(c(6082035.51324714, 6082077.10008229, 6082054.18125978, 6082056.83275214, 6082063.10604822, 6082069.37962775, 6082053.1029526, 6082036.8265756, 6082020.54991003, 6082035.51324714, 1999258.76911777, 1999250.73556909, 1999197.0299008, 1999203.39331397, 1999218.44849483, 1999233.50367208, 1999240.28604081, 1999247.06841415, 1999253.85043835, 1999258.76911777))
"062115010"|TRUE|list(c(6082044.08317037, 6082034.76067594, 6081829.92349849, 6082020.54991003, 6082014.2765977, 6082008.00327867, 6082001.72966281, 6081995.45633041, 6082011.73302015, 6082028.00942776, 6082044.08317037, 1999173.36705161, 1999151.52165385, 1999191.18860021, 1999253.85043835, 1999238.7952672, 1999223.74009754, 1999208.68493452, 1999193.62976787, 1999186.84736465, 1999180.06497635, 1999173.36705161))
"062115030"|TRUE|list(c(6082166.66657713, 6082119.86857507, 6082073.25719031, 6082108.00347075, 6082113.61248767, 6082166.66657713, 1999244.77163059, 1999135.04008651, 1999144.0668465, 1999225.48871462, 1999227.33243223, 1999244.77163059), c(6082113.61248767, 6082108.44680191, 6082136.40291997, 6082141.5685801, 6082113.61248767, 1999227.33243223, 1999201.64629429, 1999196.02403788, 1999221.71018111, 1999227.33243223))
"062115050"|TRUE|list(c(6082183.01637347, 6082170.3532163, 6082165.82973387, 6082157.74403662, 6082162.26282191, 6082157.3573593, 6082058.32080467, 6082183.01637347, 1999182.85204899, 1999153.15960732, 1999155.29850882, 1999136.33929244, 1999134.18933312, 1999122.68705448, 1999141.86524504, 1999182.85204899))
"062115050"|TRUE|list(c(6082183.01637347, 6082199.69598905, 6082264.13403623, 6082233.05270934, 6082200.72736797, 6082185.76612993, 6082183.01637347, 1999182.85204899, 1999221.96224133, 1999209.51501522, 1999199.29873998, 1999214.57229154, 1999183.75588006, 1999182.85204899))
"062115060"|TRUE|list(c(6082172.68042991, 6082171.32046286, 6082185.41938282, 6082142.01550762, 6082127.9389891, 6082088.20907901, 6082099.46332747, 6082263.84600115, 6082172.68042991, 1999061.91562635, 1999062.48428809, 1999096.31951002, 1999114.40564689, 1999080.6239808, 1999097.23679492, 1999123.71324108, 1999091.87952759, 1999061.91562635))
"062115070"|TRUE|list(c(6082149.19580589, 6082138.77508308, 6082149.33070048, 6082149.19580589, 1999016.71912452, 1999021.16194798, 1999016.76346025, 1999016.71912452))
"062115070"|TRUE|list(c(6082116.45623702, 6082068.59086333, 6082084.2970421, 6082132.03784516, 6082127.22903918, 6082121.80438982, 6082116.45623702, 1999030.67747726, 1999051.08464184, 1999088.03356571, 1999068.07104665, 1999056.53050098, 1999043.51201969, 1999030.67747726))
"062115070"|TRUE|list(c(6082164.97180386, 6082208.3503926, 6082149.33070048, 6082149.33070048, 6082154.75534145, 6082160.179971, 6082164.97180386, 1999054.29991721, 1999036.16143086, 1999016.76346025, 1999016.76346025, 1999029.78194697, 1999042.80007076, 1999054.29991721))
"062115080"|TRUE|list(c(6082062.66502869, 6082058.35648161, 6082064.67890296, 6082069.1973036, 6082062.66502869, 1999025.1426959, 1999027.00749759, 1999041.88156179, 1999039.95516409, 1999025.1426959))
"062115090"|TRUE|list(c(6082082.40601978, 6082039.19431434, 6082054.44438717, 6082063.78450755, 6082058.04837569, 6082093.8985034, 6082085.0344278, 6082085.137328, 6082082.40601978, 1998963.87543334, 1998981.92942889, 1999017.80424886, 1999013.76170922, 1999000.89211288, 1998984.84092238, 1998964.82022832, 1998964.77311708, 1998963.87543334))
"062115090"|TRUE|list(c(6082104.0746708, 6082137.33415422, 6082130.99925549, 6082102.48857582, 6082104.0746708, 1998996.32354193, 1998981.92835488, 1998979.84629929, 1998992.76637146, 1998996.32354193))
"062115100"|TRUE|list(c(6082051.31950393, 6082019.39516699, 6082035.28218511, 6082067.47317974, 6082051.31950393, 1998921.50160024, 1998935.35157874, 1998972.72621931, 1998959.27671373, 1998921.50160024))
"062115110"|TRUE|list(c(6082029.98906474, 6082000.42553527, 6082015.48307952, 6082056.44820179, 6082045.77150401, 6082029.98906474, 1998878.66599462, 1998890.72478821, 1998926.14826158, 1998908.37605025, 1998883.85294391, 1998878.66599462))
"062115120"|TRUE|list(c(6082074.34234841, 6082073.10748831, 6082079.26628895, 6082099.32447604, 6082074.34234841, 1998831.37438015, 1998831.8998641, 1998847.76620153, 1998839.58458241, 1998831.37438015))
"062115120"|TRUE|list(c(6082016.18488792, 6081990.3844352, 6081996.51320982, 6082022.00709407, 6082016.18488792, 1998856.12278055, 1998867.10193832, 1998881.52070642, 1998871.1218977, 1998856.12278055))
"062115140"|TRUE|list(c(6081993.66967612, 6082007.56585072, 6082025.04893112, 6081995.15537249, 6081992.19163201, 6082008.68056103, 6081993.66967612, 1998811.5339997, 1998843.48852808, 1998836.04912849, 1998767.30925478, 1998766.33526065, 1998805.15329524, 1998811.5339997))
"062115180"|TRUE|list(c(6081903.30579515, 6081908.58729666, 6081893.3055183, 6081937.19073942, 6081948.71949843, 6081977.97622502, 6081981.5005547, 6081987.62947789, 6081971.9814419, 6081845.66742294, 6081903.30579515, 1998947.62841197, 1998945.38096558, 1998908.7071639, 1998890.42057874, 1998918.08748464, 1998905.89660272, 1998914.35406183, 1998911.74601064, 1998874.93312597, 1998928.68432792, 1998947.62841197))
"062115190"|TRUE|list(c(6081928.26780267, 6081928.89675662, 6081913.89488447, 6081967.9691593, 6081982.6595818, 6082007.21413567, 6081991.54146269, 6081869.7555583, 6081928.26780267, 1998992.00448839, 1998991.73213851, 1998955.72953056, 1998933.19707662, 1998968.4517401, 1998957.81911811, 1998920.9490748, 1998972.77283956, 1998992.00448839))
"062115200"|TRUE|list(c(6081960.23470096, 6082026.74947368, 6082011.12624414, 6081958.1240161, 6081994.36021183, 6082005.16419527, 6081943.38857511, 6081960.23470096, 1999032.08088379, 1999003.77610065, 1998967.02237328, 1998989.97341764, 1998974.87413366, 1999000.80223558, 1999026.54386206, 1999032.08088379))
"062115200"|TRUE|list(c(6081948.08656691, 6081903.75407805, 6081943.38857511, 6081937.98626749, 6081953.43038879, 6081948.08656691, 1998994.3198376, 1999013.5167083, 1999026.54386206, 1999013.57964585, 1999007.14440115, 1998994.3198376))
"062115210"|TRUE|list(c(6081972.01644928, 6081972.85478888, 6081967.53322364, 6081984.46890701, 6081978.84172531, 6082012.71372553, 6082023.4888654, 6082046.28118399, 6082030.66146098, 6081914.4039682, 6081972.01644928, 1999081.38815642, 1999081.0307303, 1999068.25985295, 1999061.20250191, 1999047.69818902, 1999033.5842295, 1999059.44288985, 1999049.72538396, 1999012.97916378, 1999062.4515289, 1999081.38815642))
"062115220"|TRUE|list(c(6081979.50911218, 6081983.96117171, 6081973.7399405, 6081987.89294015, 6081977.2202292, 6081902.85471208, 6081979.50911218, 1999146.94251507, 1999146.08037034, 1999121.55089634, 1999115.65340795, 1999090.04046921, 1999121.74621026, 1999146.94251507))
